category,month,count,rollavg_3month
Sexual Assault,2010-01-01,255,NA
Sexual Assault,2010-02-01,209,NA
Sexual Assault,2010-03-01,235,233
Sexual Assault,2010-04-01,270,238
Sexual Assault,2010-05-01,292,266
Sexual Assault,2010-06-01,308,290
Sexual Assault,2010-07-01,304,301
Sexual Assault,2010-08-01,282,298
Sexual Assault,2010-09-01,323,303
Sexual Assault,2010-10-01,344,316
Sexual Assault,2010-11-01,282,316
Sexual Assault,2010-12-01,274,300
Sexual Assault,2011-01-01,292,283
Sexual Assault,2011-02-01,294,287
Sexual Assault,2011-03-01,300,295
Sexual Assault,2011-04-01,367,320
Sexual Assault,2011-05-01,360,342
Sexual Assault,2011-06-01,354,360
Sexual Assault,2011-07-01,325,346
Sexual Assault,2011-08-01,336,338
Sexual Assault,2011-09-01,343,335
Sexual Assault,2011-10-01,344,341
Sexual Assault,2011-11-01,319,335
Sexual Assault,2011-12-01,324,329
Sexual Assault,2012-01-01,325,323
Sexual Assault,2012-02-01,280,310
Sexual Assault,2012-03-01,327,311
Sexual Assault,2012-04-01,311,306
Sexual Assault,2012-05-01,320,319
Sexual Assault,2012-06-01,326,319
Sexual Assault,2012-07-01,332,326
Sexual Assault,2012-08-01,306,321
Sexual Assault,2012-09-01,349,329
Sexual Assault,2012-10-01,307,321
Sexual Assault,2012-11-01,283,313
Sexual Assault,2012-12-01,314,301
Sexual Assault,2013-01-01,346,314
Sexual Assault,2013-02-01,264,308
Sexual Assault,2013-03-01,344,318
Sexual Assault,2013-04-01,367,325
Sexual Assault,2013-05-01,387,366
Sexual Assault,2013-06-01,368,374
Sexual Assault,2013-07-01,371,375
Sexual Assault,2013-08-01,334,358
Sexual Assault,2013-09-01,332,346
Sexual Assault,2013-10-01,331,332
Sexual Assault,2013-11-01,283,315
Sexual Assault,2013-12-01,275,296
Sexual Assault,2014-01-01,251,270
Sexual Assault,2014-02-01,259,262
Sexual Assault,2014-03-01,298,269
Sexual Assault,2014-04-01,338,298
Sexual Assault,2014-05-01,347,328
Sexual Assault,2014-06-01,330,338
Sexual Assault,2014-07-01,314,330
Sexual Assault,2014-08-01,272,305
Sexual Assault,2014-09-01,314,300
Sexual Assault,2014-10-01,314,300
Sexual Assault,2014-11-01,281,303
Sexual Assault,2014-12-01,308,301
Sexual Assault,2015-01-01,300,296
Sexual Assault,2015-02-01,270,293
Sexual Assault,2015-03-01,372,314
Sexual Assault,2015-04-01,331,324
Sexual Assault,2015-05-01,379,361
Sexual Assault,2015-06-01,434,381
Sexual Assault,2015-07-01,377,397
Sexual Assault,2015-08-01,373,395
Sexual Assault,2015-09-01,338,363
Sexual Assault,2015-10-01,326,346
Sexual Assault,2015-11-01,332,332
Sexual Assault,2015-12-01,333,330
Sexual Assault,2016-01-01,294,320
Sexual Assault,2016-02-01,280,302
Sexual Assault,2016-03-01,340,305
Sexual Assault,2016-04-01,374,331
Sexual Assault,2016-05-01,353,356
Sexual Assault,2016-06-01,347,358
Sexual Assault,2016-07-01,351,350
Sexual Assault,2016-08-01,312,337
Sexual Assault,2016-09-01,315,326
Sexual Assault,2016-10-01,322,316
Sexual Assault,2016-11-01,267,301
Sexual Assault,2016-12-01,255,281
Sexual Assault,2017-01-01,273,265
Sexual Assault,2017-02-01,247,258
Sexual Assault,2017-03-01,305,275
Sexual Assault,2017-04-01,343,298
Sexual Assault,2017-05-01,323,324
Sexual Assault,2017-06-01,299,322
Sexual Assault,2017-07-01,323,315
Sexual Assault,2017-08-01,322,315
Sexual Assault,2017-09-01,294,313
Sexual Assault,2017-10-01,292,303
Sexual Assault,2017-11-01,238,275
Sexual Assault,2017-12-01,239,256
Sexual Assault,2018-01-01,249,242
Sexual Assault,2018-02-01,201,230
Sexual Assault,2018-03-01,260,237
Sexual Assault,2018-04-01,283,248
Sexual Assault,2018-05-01,281,275
Sexual Assault,2018-06-01,268,277
Sexual Assault,2018-07-01,283,277
Sexual Assault,2018-08-01,254,268
Sexual Assault,2018-09-01,265,267
Sexual Assault,2018-10-01,237,252
Sexual Assault,2018-11-01,202,235
Sexual Assault,2018-12-01,241,227
Sexual Assault,2019-01-01,223,222
Sexual Assault,2019-02-01,177,214
Sexual Assault,2019-03-01,238,213
Sexual Assault,2019-04-01,231,215
Sexual Assault,2019-05-01,221,230
Sexual Assault,2019-06-01,221,224
Sexual Assault,2019-07-01,218,220
Sexual Assault,2019-08-01,214,218
Sexual Assault,2019-09-01,335,256
Sexual Assault,2019-10-01,254,268
Sexual Assault,2019-11-01,183,257
Sexual Assault,2019-12-01,198,212
Sexual Assault,2020-01-01,213,198
Sexual Assault,2020-02-01,213,208
Sexual Assault,2020-03-01,247,224
Sexual Assault,2020-04-01,194,218
Sexual Assault,2020-05-01,253,231
Sexual Assault,2020-06-01,254,234
Sexual Assault,2020-07-01,252,253
Sexual Assault,2020-08-01,265,257
Sexual Assault,2020-09-01,199,239
Sexual Assault,2020-10-01,252,239
Sexual Assault,2020-11-01,239,230
Sexual Assault,2020-12-01,206,232
Sexual Assault,2021-01-01,225,223
Sexual Assault,2021-02-01,200,210
Sexual Assault,2021-03-01,223,216
Sexual Assault,2021-04-01,203,209
Sexual Assault,2021-05-01,259,228
Sexual Assault,2021-06-01,220,227
Sexual Assault,2021-07-01,239,239
Sexual Assault,2021-08-01,206,222
Sexual Assault,2021-09-01,218,221
Sexual Assault,2021-10-01,230,218
Sexual Assault,2021-11-01,208,219
Sexual Assault,2021-12-01,216,218
Sexual Assault,2022-01-01,187,204
Sexual Assault,2022-02-01,217,207
Sexual Assault,2022-03-01,233,212
Sexual Assault,2022-04-01,274,241
Sexual Assault,2022-05-01,254,254
Sexual Assault,2022-06-01,261,263
Sexual Assault,2022-07-01,250,255
Sexual Assault,2022-08-01,209,240
Sexual Assault,2022-09-01,196,218
Sexual Assault,2022-10-01,212,206
Sexual Assault,2022-11-01,197,202
Sexual Assault,2022-12-01,223,211
Sexual Assault,2023-01-01,216,212
Sexual Assault,2023-02-01,196,212
Sexual Assault,2023-03-01,219,210
Sexual Assault,2023-04-01,197,204
Sexual Assault,2023-05-01,276,231
Sexual Assault,2023-06-01,30,168
