category,description,month,count,rollavg_3month
Aggravated Assault,AGG ASLT SEX MOTIVE,2010-04-01,1,NA
Aggravated Assault,AGG ASLT SEX MOTIVE,2010-05-01,1,NA
Aggravated Assault,AGG ASLT SEX MOTIVE,2010-06-01,1,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2010-08-01,1,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2011-12-01,1,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2012-05-01,1,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2016-02-01,1,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2016-05-01,1,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2017-07-01,3,2
Aggravated Assault,AGG ASLT SEX MOTIVE,2017-11-01,1,2
Aggravated Assault,AGG ASLT SEX MOTIVE,2019-10-01,2,2
Aggravated Assault,AGG ASLT SEX MOTIVE,2020-04-01,1,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2020-05-01,1,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2021-04-01,1,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2021-05-01,1,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2021-11-01,2,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2022-11-01,1,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2023-08-01,1,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2023-10-01,1,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2024-01-01,1,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2024-04-01,1,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2024-11-01,2,1
Aggravated Assault,AGG ASLT SEX MOTIVE,2025-03-01,2,2
Aggravated Assault,AGG ASLT SEX MOTIVE,2025-04-01,2,2
Aggravated Assault,AGG ASLT SEX MOTIVE,2025-05-01,2,2
Aggravated Assault,AGG ASLT SEX MOTIVE MISD,2013-02-01,1,NA
Aggravated Assault,AGG ASLT SEX MOTIVE MISD,2013-05-01,1,NA
Aggravated Assault,AGG ASLT SEX MOTIVE MISD,2013-08-01,1,1
Aggravated Assault,AGG ASLT SEX MOTIVE MISD,2013-11-01,1,1
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2013-01-01,3,NA
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2013-02-01,5,NA
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2013-03-01,3,4
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2013-04-01,2,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2013-05-01,4,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2013-06-01,3,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2013-07-01,4,4
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2013-08-01,1,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2013-09-01,1,2
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2013-10-01,3,2
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2013-12-01,1,2
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2014-01-01,1,2
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2014-03-01,4,2
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2014-05-01,1,2
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2014-06-01,1,2
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2014-08-01,2,1
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2014-09-01,5,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2014-10-01,1,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2014-11-01,2,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2014-12-01,2,2
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2015-01-01,5,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2015-03-01,2,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2015-04-01,2,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2015-05-01,3,2
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2015-06-01,2,2
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2015-07-01,3,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2015-08-01,4,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2015-09-01,3,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2015-10-01,1,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2015-11-01,1,2
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2015-12-01,2,1
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2016-01-01,3,2
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2016-02-01,2,2
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2016-03-01,3,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2016-04-01,3,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2016-05-01,7,4
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2016-06-01,2,4
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2016-07-01,1,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2016-08-01,1,1
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2016-09-01,3,2
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2016-10-01,5,3
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2016-11-01,9,6
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2016-12-01,4,6
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2017-01-01,7,7
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2017-02-01,1,4
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2017-03-01,6,5
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2017-04-01,5,4
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2017-05-01,12,8
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2017-06-01,5,7
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2017-07-01,4,7
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2017-08-01,3,4
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2017-09-01,4,4
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2017-10-01,4,4
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2017-11-01,7,5
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2017-12-01,8,6
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2018-01-01,4,6
Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,2018-02-01,4,5
