zone,population,placename,category,2010,2011,2012,2013,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
01,4900,Murchison Road,Sexual Assault,103,140,131,139,104,148,90,107,120,91,120,104,101,44,97,325,108.3,11,6.6,-4,-10,1857.1,2449,2122.4,2061.2,1979.6,2210.2
02,9000,"Hillendale, Rivercliff and Country Club North",Sexual Assault,96,123,87,99,85,122,88,88,88,58,94,89,89,42,89,272,90.7,53.4,53.4,0,-2,644.4,1044.4,988.9,988.9,988.9,1007.8
03,5700,North Street Park and Winter Terrace Park,Sexual Assault,136,199,208,166,141,185,132,142,111,91,104,101,131,60,131,336,112,44,44,0,17,1596.5,1824.6,1771.9,2298.2,2298.2,1964.9
04,3600,East Fayetteville,Sexual Assault,94,111,116,125,96,91,99,107,76,63,92,96,82,38,88,270,90,30.2,39.7,7.3,-2,1750,2555.6,2666.7,2277.8,2444.4,2500
05,3700,Southwest of Downtown,Sexual Assault,116,145,134,165,159,179,168,142,125,91,101,100,104,42,100,305,101.7,14.3,9.9,-3.8,-2,2459.5,2729.7,2702.7,2810.8,2702.7,2748.6
06,8200,Bordeaux and Holiday Park,Sexual Assault,150,166,208,216,183,248,250,231,178,169,174,146,188,69,188,508,169.3,11.2,11.2,0,11,2061,2122,1780.5,2292.7,2292.7,2064.6
07,3600,Haymount,Sexual Assault,70,79,67,76,77,70,95,75,46,43,30,30,46,9,31,106,35.3,7,-27.9,-32.6,-12,1194.4,833.3,833.3,1277.8,861.1,980.6
08,5900,Edenroc and Greenwood Homes,Sexual Assault,130,154,120,129,107,138,114,99,83,100,93,82,84,38,86,259,86.3,-16,-14,2.4,-0,1694.9,1576.3,1389.8,1423.7,1457.6,1462.7
09,5200,Green Valley Estates and Kornbow,Sexual Assault,112,140,119,133,155,159,173,124,153,107,113,100,101,46,111,314,104.7,-5.6,3.7,9.9,6,2057.7,2173.1,1923.1,1942.3,2134.6,2013.5
10,3800,Kirkwood,Sexual Assault,87,97,113,141,118,154,130,125,85,85,111,126,120,29,95,357,119,41.2,11.8,-20.8,-20,2236.8,2921.1,3315.8,3157.9,2500,3131.6
11,1100,Downtown Fayetteville,Sexual Assault,132,146,141,128,98,167,137,103,102,204,94,89,95,49,98,278,92.7,-53.4,-52,3.2,6,18545.5,8545.5,8090.9,8636.4,8909.1,8427.3
12,15300,Wooded Lake and Jordan Soccer Complex,Sexual Assault,131,134,142,116,112,164,131,129,113,110,161,139,135,47,123,435,145,22.7,11.8,-8.9,-15,719,1052.3,908.5,882.4,803.9,947.7
13,6900,Montclair,Sexual Assault,118,139,115,181,191,192,166,158,157,134,119,95,144,55,140,358,119.3,7.5,4.5,-2.8,17,1942,1724.6,1376.8,2087,2029,1729
14,6900,North Reilly Road,Sexual Assault,117,141,145,138,125,122,147,132,139,103,123,110,74,36,72,307,102.3,-28.2,-30.1,-2.7,-30,1492.8,1782.6,1594.2,1072.5,1043.5,1482.6
15,11100,Beaver Creek and Cottonade,Sexual Assault,176,260,171,210,192,223,227,215,158,144,136,146,132,53,118,414,138,-8.3,-18.1,-10.6,-14,1297.3,1225.2,1315.3,1189.2,1063.1,1243.2
16,10700,Loch Lommond and Beaver Creek Pond,Sexual Assault,189,186,184,234,197,194,159,162,148,138,144,148,131,47,119,423,141,-5.1,-13.8,-9.2,-16,1289.7,1345.8,1383.2,1224.3,1112.1,1317.8
17,7000,Hollywood Heights,Sexual Assault,228,193,251,196,178,190,180,179,118,119,114,124,123,58,123,361,120.3,3.4,3.4,0,2,1700,1628.6,1771.4,1757.1,1757.1,1718.6
18,2200,Southwest Raleigh,Sexual Assault,133,133,141,160,154,173,130,149,114,80,79,65,63,26,64,207,69,-21.2,-20,1.6,-7,3636.4,3590.9,2954.5,2863.6,2909.1,3136.4
19,8600,"Oakdale, Queensdale and Sherwood Park",Sexual Assault,203,238,203,221,193,249,225,203,173,120,110,129,110,43,107,349,116.3,-8.3,-10.8,-2.7,-8,1395.3,1279.1,1500,1279.1,1244.2,1352.3
20,4400,Northeast Raleigh,Sexual Assault,46,43,31,50,38,41,32,29,26,28,24,28,41,11,30,93,31,46.4,7.1,-26.8,-3,636.4,545.5,636.4,931.8,681.8,704.5
