zone,population,placename,type,2010,2011,2012,2013,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
11,1100,Downtown Fayetteville,Other/Unknown,378,381,384,300,331,382,332,289,285,383,292,249,274,183,271,815,271.7,-28.5,-29.2,-1.1,-0,34818.2,26545.5,22636.4,24909.1,24636.4,24700
11,1100,Downtown Fayetteville,Property,417,473,460,348,306,272,239,226,256,229,266,214,260,146,235,740,246.7,13.5,2.6,-9.6,-5,20818.2,24181.8,19454.5,23636.4,21363.6,22427.3
11,1100,Downtown Fayetteville,Violent,62,67,74,63,69,59,47,44,56,53,61,65,73,40,60,199,66.3,37.7,13.2,-17.8,-10,4818.2,5545.5,5909.1,6636.4,5454.5,6027.3
12,15300,Wooded Lake and Jordan Soccer Complex,Other/Unknown,382,355,433,370,360,434,413,414,378,422,473,422,448,231,361,1343,447.7,6.2,-14.5,-19.4,-19,2758.2,3091.5,2758.2,2928.1,2359.5,2926.1
12,15300,Wooded Lake and Jordan Soccer Complex,Property,650,643,784,683,565,512,526,429,366,361,560,530,617,283,443,1707,569,70.9,22.7,-28.2,-22,2359.5,3660.1,3464.1,4032.7,2895.4,3719
12,15300,Wooded Lake and Jordan Soccer Complex,Violent,41,26,56,22,21,37,45,36,44,56,67,74,60,31,52,201,67,7.1,-7.1,-13.3,-22,366,437.9,483.7,392.2,339.9,437.9
13,6900,Montclair,Other/Unknown,427,516,436,587,522,508,471,512,478,503,420,328,431,220,342,1179,393,-14.3,-32,-20.6,-13,7289.9,6087,4753.6,6246.4,4956.5,5695.7
13,6900,Montclair,Property,1488,1316,1145,1150,800,647,627,713,539,573,479,423,551,305,479,1453,484.3,-3.8,-16.4,-13.1,-1,8304.3,6942,6130.4,7985.5,6942,7018.8
13,6900,Montclair,Violent,30,36,45,62,41,37,44,50,61,66,65,38,81,34,58,184,61.3,22.7,-12.1,-28.4,-5,956.5,942,550.7,1173.9,840.6,888.4
14,6900,North Reilly Road,Other/Unknown,271,301,304,328,254,271,286,296,300,258,256,257,212,145,200,725,241.7,-17.8,-22.5,-5.7,-17,3739.1,3710.1,3724.6,3072.5,2898.6,3502.9
14,6900,North Reilly Road,Property,482,415,488,429,390,296,278,352,310,271,243,196,188,129,193,627,209,-30.6,-28.8,2.7,-8,3927.5,3521.7,2840.6,2724.6,2797.1,3029
14,6900,North Reilly Road,Violent,17,26,26,23,21,37,52,41,52,45,57,51,50,33,54,158,52.7,11.1,20,8,2,652.2,826.1,739.1,724.6,782.6,763.8
15,11100,Beaver Creek and Cottonade,Other/Unknown,501,595,505,514,487,522,473,483,447,411,376,386,403,230,352,1165,388.3,-1.9,-14.4,-12.7,-9,3702.7,3387.4,3477.5,3630.6,3171.2,3498.2
15,11100,Beaver Creek and Cottonade,Property,736,721,788,729,675,548,533,473,394,364,389,317,315,235,336,1021,340.3,-13.5,-7.7,6.7,-1,3279.3,3504.5,2855.9,2837.8,3027,3065.8
15,11100,Beaver Creek and Cottonade,Violent,57,53,87,38,44,52,49,80,83,75,67,65,55,52,61,187,62.3,-26.7,-18.7,10.9,-2,675.7,603.6,585.6,495.5,549.5,561.3
16,10700,Loch Lommond and Beaver Creek Pond,Other/Unknown,448,450,440,522,405,399,365,382,343,366,349,326,320,198,289,995,331.7,-12.6,-21,-9.7,-13,3420.6,3261.7,3046.7,2990.7,2700.9,3100
16,10700,Loch Lommond and Beaver Creek Pond,Property,619,529,631,601,501,391,448,413,287,274,345,199,232,184,252,776,258.7,-15.3,-8,8.6,-3,2560.7,3224.3,1859.8,2168.2,2355.1,2417.8
16,10700,Loch Lommond and Beaver Creek Pond,Violent,22,34,37,35,26,39,46,58,50,71,49,70,70,47,68,189,63,-1.4,-4.2,-2.9,8,663.6,457.9,654.2,654.2,635.5,588.8
17,7000,Hollywood Heights,Other/Unknown,562,588,643,549,451,479,434,466,364,404,341,331,364,196,308,1036,345.3,-9.9,-23.8,-15.4,-11,5771.4,4871.4,4728.6,5200,4400,4932.9
17,7000,Hollywood Heights,Property,874,866,830,590,479,467,581,558,442,422,399,352,370,288,418,1121,373.7,-12.3,-0.9,13,12,6028.6,5700,5028.6,5285.7,5971.4,5338.6
17,7000,Hollywood Heights,Violent,53,59,59,46,34,34,52,63,51,54,58,58,67,53,70,183,61,24.1,29.6,4.5,15,771.4,828.6,828.6,957.1,1000,871.4
18,2200,Southwest Raleigh,Other/Unknown,418,390,449,477,405,452,397,375,331,309,264,188,221,175,257,673,224.3,-28.5,-16.8,16.3,15,14045.5,12000,8545.5,10045.5,11681.8,10195.5
18,2200,Southwest Raleigh,Property,592,529,690,555,523,500,452,291,304,371,264,183,235,234,316,682,227.3,-36.7,-14.8,34.5,39,16863.6,12000,8318.2,10681.8,14363.6,10331.8
18,2200,Southwest Raleigh,Violent,58,41,63,73,68,61,57,66,48,60,45,30,59,20,40,134,44.7,-1.7,-33.3,-32.2,-11,2727.3,2045.5,1363.6,2681.8,1818.2,2031.8
19,8600,"Oakdale, Queensdale and Sherwood Park",Other/Unknown,458,477,428,466,421,467,441,397,330,266,262,281,269,144,215,812,270.7,1.1,-19.2,-20.1,-21,3093,3046.5,3267.4,3127.9,2500,3147.7
19,8600,"Oakdale, Queensdale and Sherwood Park",Property,433,548,526,489,443,449,373,384,322,279,233,165,228,109,184,626,208.7,-18.3,-34.1,-19.3,-12,3244.2,2709.3,1918.6,2651.2,2139.5,2426.7
19,8600,"Oakdale, Queensdale and Sherwood Park",Violent,43,46,27,52,38,30,58,75,59,53,45,59,44,33,51,148,49.3,-17,-3.8,15.9,3,616.3,523.3,686,511.6,593,573.3
20,4400,Northeast Raleigh,Other/Unknown,132,109,85,151,126,134,105,126,103,101,75,98,118,61,98,291,97,16.8,-3,-16.9,1,2295.5,1704.5,2227.3,2681.8,2227.3,2204.5
20,4400,Northeast Raleigh,Property,162,183,187,221,158,137,128,140,126,174,111,84,104,59,97,299,99.7,-40.2,-44.3,-6.7,-3,3954.5,2522.7,1909.1,2363.6,2204.5,2265.9
20,4400,Northeast Raleigh,Violent,13,10,5,18,10,11,6,7,11,9,11,23,15,9,11,49,16.3,66.7,22.2,-26.7,-33,204.5,250,522.7,340.9,250,370.5
21,15000,"Brentwood, Arran Lakes and Ducks Landing",Other/Unknown,513,635,503,522,520,591,488,456,481,426,505,451,420,260,375,1376,458.7,-1.4,-12,-10.7,-18,2840,3366.7,3006.7,2800,2500,3058
21,15000,"Brentwood, Arran Lakes and Ducks Landing",Property,643,706,600,594,575,496,407,390,355,315,321,281,351,201,318,953,317.7,11.4,1,-9.4,0,2100,2140,1873.3,2340,2120,2118
21,15000,"Brentwood, Arran Lakes and Ducks Landing",Violent,47,45,41,55,47,52,69,47,81,58,103,80,90,48,72,273,91,55.2,24.1,-20,-21,386.7,686.7,533.3,600,480,606.7
22,6800,Murchison Road,Other/Unknown,357,371,320,328,328,307,333,301,299,243,279,266,275,162,232,820,273.3,13.2,-4.5,-15.6,-15,3573.5,4102.9,3911.8,4044.1,3411.8,4019.1
22,6800,Murchison Road,Property,429,430,394,355,276,225,275,245,268,239,223,164,189,113,175,576,192,-20.9,-26.8,-7.4,-9,3514.7,3279.4,2411.8,2779.4,2573.5,2823.5
22,6800,Murchison Road,Violent,44,40,37,64,34,46,57,54,83,60,69,78,56,55,72,203,67.7,-6.7,20,28.6,6,882.4,1014.7,1147.1,823.5,1058.8,995.6
23,5000,Hickory Grove and Bluewood Springs,Other/Unknown,184,185,167,155,153,180,158,146,159,133,119,121,118,71,111,358,119.3,-11.3,-16.5,-5.9,-7,2660,2380,2420,2360,2220,2386
23,5000,Hickory Grove and Bluewood Springs,Property,208,261,212,213,214,183,147,164,126,120,169,112,111,56,82,392,130.7,-7.5,-31.7,-26.1,-37,2400,3380,2240,2220,1640,2614
23,5000,Hickory Grove and Bluewood Springs,Violent,14,18,9,13,14,18,14,21,15,32,25,24,27,18,27,76,25.3,-15.6,-15.6,0,7,640,500,480,540,540,506
