zone,population,placename,category,2010,2011,2012,2013,2014,2015,2016,2017,2018,total19,total20,total21,total22,total23,2024,2025,2026,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
05,3700,Southwest of Downtown,Burglary,94,99,151,100,66,75,73,105,62,69,73,41,80,73,63,82,39,84,194,64.7,15.9,21.7,5,30,1864.9,1973,1108.1,2162.2,2270.3,1748.6
05,3700,Southwest of Downtown,Motor Vehicle Theft,37,33,28,24,21,31,33,27,25,16,33,30,33,51,42,35,15,39,96,32,106.2,143.8,18.2,22,432.4,891.9,810.8,891.9,1054.1,864.9
05,3700,Southwest of Downtown,Murder,0,1,0,1,0,0,0,0,1,2,1,4,1,2,2,4,0,2,6,2,-50,0,100,0,54.1,27,108.1,27,54.1,54.1
05,3700,Southwest of Downtown,Other/Unknown,301,309,328,339,325,377,382,440,487,321,337,288,352,337,272,401,123,374,977,325.7,9.7,16.5,6.2,15,8675.7,9108.1,7783.8,9513.5,10108.1,8802.7
05,3700,Southwest of Downtown,Robbery,26,28,31,44,21,16,18,12,16,23,16,20,27,23,13,9,1,7,63,21,17.4,-69.6,-74.1,-67,621.6,432.4,540.5,729.7,189.2,567.6
05,3700,Southwest of Downtown,Theft,275,275,283,286,258,287,400,542,453,343,286,265,351,325,408,368,166,381,902,300.7,2.3,11.1,8.5,27,9270.3,7729.7,7162.2,9486.5,10297.3,8127
06,8200,Bordeaux and Holiday Park,Aggravated Assault,23,18,25,30,24,24,54,56,56,63,57,60,72,72,47,59,15,45,189,63,14.3,-28.6,-37.5,-29,768.3,695.1,731.7,878,548.8,768.3
06,8200,Bordeaux and Holiday Park,Burglary,158,223,231,170,126,115,105,92,92,74,63,48,63,43,40,32,19,40,174,58,-14.9,-45.9,-36.5,-31,902.4,768.3,585.4,768.3,487.8,707.3
06,8200,Bordeaux and Holiday Park,Motor Vehicle Theft,44,48,58,36,41,35,28,27,29,20,33,32,33,50,36,40,17,39,98,32.7,65,95,18.2,19,243.9,402.4,390.2,402.4,475.6,398.8
06,8200,Bordeaux and Holiday Park,Murder,1,0,0,0,1,2,1,3,1,0,0,4,4,2,0,1,0,0,8,2.7,NA,NA,-100,-100,0,0,48.8,48.8,0,32.9
06,8200,Bordeaux and Holiday Park,Other/Unknown,442,474,485,535,466,554,539,515,470,430,428,378,518,394,360,436,134,423,1324,441.3,20.5,-1.6,-18.3,-4,5243.9,5219.5,4609.8,6317.1,5158.5,5381.7
06,8200,Bordeaux and Holiday Park,Robbery,30,28,39,35,27,15,27,19,13,12,12,8,12,14,11,10,5,9,32,10.7,0,-25,-25,-16,146.3,146.3,97.6,146.3,109.8,130.5
06,8200,Bordeaux and Holiday Park,Theft,487,504,526,535,437,506,495,409,366,357,330,279,350,297,280,302,92,302,959,319.7,-2,-15.4,-13.7,-6,4353.7,4024.4,3402.4,4268.3,3682.9,3898.8
